2025-11-25 22:34:38,098 INFO    MainThread:49628 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_setup.py:_flush():80] Configure stats pid to 49628
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_setup.py:_flush():80] Loading settings from /Users/drstefano/.config/wandb/settings
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_setup.py:_flush():80] Loading settings from /Users/drstefano/Documents/Work/Technical Tests/bottlecap-classifier/wandb/settings
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /Users/drstefano/Documents/Work/Technical Tests/bottlecap-classifier/wandb/run-20251125_223438-9vp9lv38/logs/debug.log
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /Users/drstefano/Documents/Work/Technical Tests/bottlecap-classifier/wandb/run-20251125_223438-9vp9lv38/logs/debug-internal.log
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_init.py:init():840] calling init triggers
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'model': 'ColorThreshold', 'test_size': 0.2, '_wandb': {}}
2025-11-25 22:34:38,099 INFO    MainThread:49628 [wandb_init.py:init():888] starting backend
2025-11-25 22:34:38,944 INFO    MainThread:49628 [wandb_init.py:init():891] sending inform_init request
2025-11-25 22:34:38,961 INFO    MainThread:49628 [wandb_init.py:init():899] backend started and connected
2025-11-25 22:34:38,962 INFO    MainThread:49628 [wandb_init.py:init():969] updated telemetry
2025-11-25 22:34:38,974 INFO    MainThread:49628 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-25 22:34:40,312 INFO    MainThread:49628 [wandb_init.py:init():1040] starting run threads in backend
2025-11-25 22:34:40,355 INFO    MainThread:49628 [wandb_run.py:_console_start():2504] atexit reg
2025-11-25 22:34:40,355 INFO    MainThread:49628 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-25 22:34:40,355 INFO    MainThread:49628 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-25 22:34:40,355 INFO    MainThread:49628 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-25 22:34:40,357 INFO    MainThread:49628 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-25 22:34:41,557 INFO    wandb-AsyncioManager-main:49628 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-25 22:34:41,557 INFO    wandb-AsyncioManager-main:49628 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
